area_sqft,bedrooms,bathrooms,age_years,location_tier,price
1998.53,5,2,12.0,1,156.1
3842.29,2,3,54.4,2,189.63
3142.38,4,3,0.6,3,260.78
2715.71,2,2,32.5,1,136.57
1299.26,5,3,36.6,2,121.43
1299.18,5,2,39.6,3,168.4
985.87,1,1,69.5,2,48.81
3571.76,5,2,38.9,3,229.39
2723.57,1,1,44.9,3,157.47
3065.83,4,3,23.8,1,192.04
865.87,2,3,37.3,3,103.09
3903.71,2,1,22.7,2,236.83
3463.82,1,3,7.3,3,241.94
1479.49,2,2,60.3,3,123.74
1381.84,5,1,66.8,1,80.36
1386.89,3,3,61.9,3,133.84
1773.58,1,1,46.3,3,134.21
2479.22,2,2,38.0,2,155.84
2182.22,1,2,86.3,1,72.87
1731.93,1,3,51.9,1,85.99
2757.93,3,2,47.9,1,132.22
1246.38,5,1,2.6,3,176.06
1734.86,1,2,34.1,1,91.47
1972.36,2,1,38.0,3,161.95
2259.42,4,1,39.9,3,181.11
3312.56,1,2,58.0,2,125.12
1438.96,1,3,53.4,2,105.23
2445.55,3,2,60.8,2,139.91
2695.73,5,1,76.5,2,143.97
948.64,4,1,81.3,2,67.28
2744.14,2,2,71.8,3,167.84
1345.68,4,3,95.6,3,120.13
1008.17,2,3,1.8,1,100.1
3836.43,5,1,19.6,3,258.68
3890.02,2,1,0.8,3,237.83
3386.87,3,3,64.7,2,159.95
1774.76,3,2,89.8,3,110.01
1112.55,3,1,24.3,2,123.08
2989.55,3,1,92.7,1,110.0
2208.49,4,3,6.0,1,167.61
1190.52,5,2,93.4,3,116.16
2384.57,2,3,35.2,1,134.49
910.04,2,2,10.1,3,135.32
3709.83,3,2,48.6,1,171.29
1628.1,3,2,25.7,2,145.45
2920.07,1,1,28.5,2,165.96
1797.48,5,3,30.7,2,173.22
2464.22,4,3,80.3,2,144.09
2549.47,2,2,53.9,3,167.61
1391.53,1,1,31.1,1,88.5
3902.67,1,1,61.0,3,191.5
3280.43,2,3,71.6,2,147.7
3806.4,4,1,27.3,3,237.78
3663.45,1,1,41.4,1,141.69
2713.28,1,2,12.2,3,188.46
3750.0,5,1,18.1,1,201.31
1083.18,4,2,68.1,3,109.5
1427.15,1,3,18.1,1,98.36
944.73,4,1,52.5,1,50.12
1841.06,2,3,70.9,2,108.85
2043.77,3,3,10.7,1,144.99
1668.32,1,1,56.7,2,83.84
3451.96,5,1,25.7,2,217.89
1941.61,2,3,96.3,2,99.3
1698.99,4,1,48.4,3,132.71
2536.63,2,2,80.6,3,134.68
1250.96,1,2,55.0,3,102.07
3367.03,4,1,4.3,3,232.97
1038.56,3,3,63.3,1,75.99
3958.04,2,1,95.1,1,122.48
3271.18,1,1,60.2,3,167.72
1435.89,5,3,81.9,1,62.68
817.67,4,3,88.4,1,54.24
3409.48,2,2,22.8,2,181.69
3061.94,2,3,21.2,2,189.8
3132.82,3,2,61.1,2,164.54
3268.07,3,3,41.1,2,202.11
1036.94,5,1,84.0,1,42.02
1947.09,5,2,90.0,3,107.95
1170.78,1,2,35.3,1,74.54
3561.93,1,2,23.7,1,183.72
2794.55,5,1,78.1,1,133.76
1858.87,5,1,27.5,2,156.17
1003.39,4,1,82.3,2,67.39
1795.14,3,1,42.4,2,132.0
1840.59,1,1,66.8,3,105.28
3134.74,3,2,9.6,1,182.84
2840.18,3,1,62.4,3,174.55
3639.08,5,2,45.2,2,218.83
2311.09,4,1,58.7,3,189.56
1182.7,2,3,16.8,1,105.88
3082.38,4,2,73.7,1,127.84
3234.51,4,3,86.3,2,158.93
2596.09,3,2,21.7,2,156.83
3267.09,4,3,9.6,3,239.74
2380.15,1,1,2.4,2,156.32
2472.75,3,1,64.2,2,124.95
2168.13,1,1,60.7,1,82.84
881.34,2,2,54.7,2,71.89
1145.25,3,3,23.2,2,139.74
900.57,2,1,39.1,1,62.25
2836.51,3,3,59.4,1,133.63
1805.94,5,3,49.7,3,168.19
2427.43,4,1,98.8,2,110.49
3704.21,5,1,13.6,1,212.98
1597.74,2,3,69.5,3,115.64
2113.23,4,1,40.4,3,163.04
3217.76,3,1,42.8,2,170.33
1532.15,4,1,71.8,2,85.76
1046.34,1,2,69.2,3,83.03
1727.2,4,3,99.1,1,66.39
1315.91,1,3,12.8,3,160.53
3775.03,4,2,10.4,2,235.42
3385.99,1,3,72.4,1,128.5
2826.89,2,1,57.8,1,123.18
3588.67,5,3,27.4,3,250.3
3371.75,3,1,7.9,2,210.56
1397.02,4,2,8.6,3,175.01
3656.19,5,1,89.4,3,195.08
2525.9,3,3,19.2,3,199.23
3383.81,3,3,32.3,1,150.18
3667.49,1,3,22.7,1,174.89
1817.61,2,2,35.5,2,142.44
1152.17,2,2,6.9,2,137.03
1529.39,5,3,51.9,3,169.66
2166.74,2,1,6.8,3,194.79
3417.65,4,2,80.0,3,190.48
3554.34,2,3,23.4,2,206.68
822.25,5,3,54.0,1,77.4
2434.39,2,2,88.0,1,79.64
2135.72,4,2,65.1,3,162.84
1510.74,1,2,53.3,3,132.28
1183.57,5,1,32.4,3,150.08
1880.37,1,1,33.3,3,138.67
3817.31,1,3,66.9,2,171.05
1834.25,1,2,99.4,1,50.68
2460.13,3,1,66.2,3,138.72
3049.66,3,2,55.8,2,140.15
1963.61,1,3,73.1,3,120.77
3909.7,5,1,46.5,3,223.42
3879.83,4,1,6.0,1,203.9
1605.7,4,1,56.2,3,137.74
2391.2,2,3,95.8,1,76.55
1762.81,5,2,17.5,1,154.2
1711.49,3,1,69.0,1,77.97
918.04,1,3,20.1,2,110.06
2750.61,2,2,53.6,2,152.63
2408.57,4,3,9.7,1,155.18
964.73,3,2,45.0,3,134.13
1691.67,3,3,75.6,1,79.96
3706.45,1,2,34.8,3,218.62
1566.6,4,1,66.5,1,68.92
1263.66,5,2,79.5,3,107.05
2366.25,3,3,92.7,2,123.82
3954.08,1,3,23.5,3,239.39
1574.58,5,2,39.9,1,106.14
2950.83,4,1,15.2,2,185.39
3237.18,3,1,99.2,3,165.16
1560.44,5,2,92.7,3,110.56
3130.29,5,2,54.0,3,224.79
1976.91,5,3,84.2,3,140.82
2823.38,3,1,52.1,3,183.53
2827.3,3,2,62.4,2,146.78
2514.48,2,1,8.9,2,173.91
1088.93,4,2,75.5,2,81.25
3472.97,1,2,12.8,2,194.71
1826.5,5,1,82.6,1,84.25
1396.86,2,2,78.2,2,69.31
930.48,1,2,70.9,3,93.28
2690.86,2,3,3.6,3,210.16
2968.21,3,2,30.3,2,178.35
853.08,5,2,26.3,3,140.87
2438.7,1,2,36.0,2,115.92
1524.79,1,3,8.8,3,160.45
2864.55,1,1,93.7,1,103.43
1357.97,1,3,55.4,1,77.07
3011.0,1,3,30.6,2,171.75
2037.55,2,1,39.7,2,123.93
3797.54,5,3,44.7,2,220.36
1240.07,3,1,60.1,3,120.83
1891.41,3,3,51.6,2,120.14
1163.12,3,1,91.9,1,48.3
3759.02,3,2,49.7,3,224.96
3607.49,2,3,99.2,2,153.07
1625.41,4,3,85.1,3,133.16
2911.95,5,3,20.9,3,233.43
3415.11,1,3,93.1,2,142.81
2576.64,4,2,11.6,3,220.79
2494.88,3,3,81.7,1,100.38
1573.93,4,2,38.1,1,102.9
1097.93,5,2,87.8,3,111.21
3671.09,1,2,86.8,2,159.53
3681.34,1,2,80.6,3,161.98
2825.92,5,1,79.0,1,107.03
1884.9,5,1,30.5,3,179.24
1917.47,3,3,8.1,3,193.15
3123.06,1,1,40.3,1,132.8
3670.75,4,1,17.4,3,245.03
3638.68,2,3,69.5,3,193.53
3295.6,2,3,34.6,2,201.56
2854.5,5,3,97.6,2,128.85
1069.25,3,1,64.1,1,47.86
1317.21,2,1,82.2,1,41.27
3675.37,1,3,13.3,1,167.6
2740.57,5,2,86.2,2,142.2
829.43,4,3,92.3,1,61.82
1124.71,5,2,48.7,1,92.61
2923.21,4,2,60.6,1,140.12
816.2,5,3,76.5,2,77.78
1314.59,5,3,17.5,3,173.86
2555.95,5,3,50.3,1,143.5
3014.06,4,1,39.9,3,198.42
2886.28,4,2,14.6,1,186.13
1517.66,5,1,36.8,3,165.29
3078.97,2,1,6.8,2,178.2
1559.2,3,3,2.6,2,161.97
1841.28,3,1,13.5,1,128.61
3188.77,3,3,96.3,3,177.96
2878.83,4,2,55.0,2,181.6
3517.51,4,3,96.6,1,125.7
2904.36,2,1,43.2,1,120.94
2618.59,3,1,31.2,2,149.13
1099.76,3,3,50.6,2,102.66
1976.69,5,3,44.0,1,136.69
1648.65,4,1,10.6,3,187.12
1580.77,3,2,64.1,3,129.3
3913.63,2,2,21.6,3,234.5
2057.91,2,3,62.0,1,97.98
3654.55,3,2,65.0,2,168.54
2819.64,4,1,15.2,1,185.42
3343.4,2,3,6.1,2,195.03
2408.44,5,1,78.1,3,159.68
2646.09,2,1,46.0,3,188.07
2376.06,1,2,5.8,2,163.58
1424.78,1,3,99.5,2,59.38
3111.85,4,3,5.8,1,190.72
1698.47,3,2,69.5,3,128.04
877.81,4,1,98.4,1,43.76
2865.51,4,1,23.9,1,137.04
1366.75,4,1,14.2,1,129.79
3809.47,4,1,12.1,3,237.38
3852.57,5,3,30.3,1,205.91
3727.57,5,3,10.1,1,216.09
1984.51,2,2,69.2,1,87.97
